GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
team5-gradebook,ca.uwo.csd.cs2212.team5,MainWindow,2881,0,162,0,455,0,101,0,20,0
team5-gradebook,ca.uwo.csd.cs2212.team5,GradeWindow.new ActionListener() {...},82,0,2,0,9,0,3,0,2,0
team5-gradebook,ca.uwo.csd.cs2212.team5,StudentTableModel,165,0,28,0,52,0,23,0,9,0
team5-gradebook,ca.uwo.csd.cs2212.team5,App,8,0,0,0,3,0,2,0,2,0
team5-gradebook,ca.uwo.csd.cs2212.team5,MainWindow.new ActionListener() {...},9,0,0,0,3,0,2,0,2,0
team5-gradebook,ca.uwo.csd.cs2212.team5,Student,105,50,4,0,16,20,8,9,6,9
team5-gradebook,ca.uwo.csd.cs2212.team5,App.new Runnable() {...},11,0,0,0,4,0,2,0,2,0
team5-gradebook,ca.uwo.csd.cs2212.team5,MainWindow.new Runnable() {...},17,0,0,0,7,0,2,0,2,0
team5-gradebook,ca.uwo.csd.cs2212.team5,Grade,7,0,0,0,3,0,2,0,2,0
team5-gradebook,ca.uwo.csd.cs2212.team5,Deliverable,0,61,0,0,0,19,0,9,0,9
team5-gradebook,ca.uwo.csd.cs2212.team5,Course,101,82,10,4,23,30,13,13,8,11
team5-gradebook,ca.uwo.csd.cs2212.team5,GradeWindow,251,0,6,0,60,0,9,0,6,0
